1630.168121 -80.078582 -9.824580
1630.168121 -80.078582 -9.824580
1627.213068 -79.096093 -9.721664
1619.929719 -58.108894 -7.174249
1597.609060 -57.072212 -7.144703
1576.620025 -56.078751 -7.113794
1561.772054 -54.981895 -7.040963
1546.627902 -49.581869 -6.411609
1531.343930 -44.090629 -5.758423
1509.205746 -35.734108 -4.735485
1488.780798 -35.584624 -4.780371
1471.981342 -30.666965 -4.166760
1454.184517 -31.417273 -4.320947
1435.364396 -28.260679 -3.937771
1417.376179 -23.892416 -3.371359
1400.073491 -24.443331 -3.491721
1383.957073 -20.991608 -3.033564
1371.244543 -21.787858 -3.177822
1366.433290 -21.523973 -3.150388
1362.708511 -22.452105 -3.295218
1359.052993 -23.643978 -3.479478
1347.824495 0.804368 0.119358
1333.638789 0.783561 0.117507
1322.115017 -0.300196 -0.045411
1316.783617 -1.251220 -0.190042
1309.785295 -1.257907 -0.192078
1303.786748 -1.263695 -0.193850
1297.788214 -1.269537 -0.195646
1291.789693 -1.275433 -0.197468
1284.791437 -0.230431 -0.035871
1279.053876 -1.288052 -0.201407
1272.055655 -1.295140 -0.203629
1266.057195 -1.301277 -0.205564
1260.058750 -1.307473 -0.207526
1254.481176 -1.272290 -0.202839
1248.061904 -1.320043 -0.211535
1242.970948 -1.345795 -0.216545
1237.064849 -1.331780 -0.215313
1232.394173 -1.315614 -0.213505
1226.067847 -1.343727 -0.219193
1220.977126 -1.370041 -0.224417
1215.491099 -0.348821 -0.057396
1209.310364 -1.383028 -0.228730
1204.311827 -1.388769 -0.230633
1197.803408 -1.332643 -0.222515
1193.315088 -1.401569 -0.234903
1187.720929 -1.364517 -0.229771
1182.318409 -1.414608 -0.239294
1177.723789 -1.376102 -0.233688
1173.321173 -1.425458 -0.242978
1167.726697 -1.387885 -0.237707
1163.727875 -1.392655 -0.239344
1158.325875 -1.443915 -0.249311
1154.645795 -0.460471 -0.079760
1148.659134 -1.456386 -0.253580
1144.048488 -1.416581 -0.247643
1139.971747 -1.442299 -0.253041
1135.051260 -1.427812 -0.251585
1130.587492 -1.500494 -0.265436
1126.054077 -1.439222 -0.255622
1121.977541 -1.465436 -0.261224
1117.056939 -1.450817 -0.259757
1113.980176 -1.475959 -0.264988
1109.981508 -1.481277 -0.266901
1105.982850 -1.486634 -0.268835
1101.597698 -0.488040 -0.088606
1097.245608 -1.498244 -0.273092
1093.246980 -1.503725 -0.275093
1089.248363 -1.509246 -0.277117
1085.249756 -1.514808 -0.279163
1082.250807 -1.519007 -0.280713
1078.252218 -1.524641 -0.282799
1075.622981 -1.479393 -0.275076
1072.184124 -1.554333 -0.289938
1067.256152 -1.540354 -0.288657
1064.257239 -1.544695 -0.290286
1062.187838 -1.568964 -0.295421
1057.259800 -0.590633 -0.111729
1054.871826 -1.529139 -0.289919
1051.519783 -1.584470 -0.301368
1047.585228 -1.569716 -0.299683
1045.522091 -1.593561 -0.304836
1042.876148 -1.546732 -0.296628
1039.524425 -1.602758 -0.308364
1036.878347 -1.555681 -0.300070
1034.526390 -1.610503 -0.311351
1031.527579 -1.615187 -0.313164
1028.881318 -1.567776 -0.304754
1026.529575 -1.623053 -0.316221
1024.882822 -0.521944 -0.101854
1020.799021 -1.632423 -0.319832
1020.076987 -1.601492 -0.313994
1015.801060 -1.640457 -0.322988
1014.136804 -1.590450 -0.313656
1011.745604 -1.667508 -0.329630
1009.138740 -1.598329 -0.316771
1008.081730 -1.620553 -0.321512
1005.748160 -1.677455 -0.333574
1003.141088 -1.607888 -0.320571
1002.084144 -1.630255 -0.325373
1001.084549 -1.631883 -0.326023
998.751181 -0.724922 -0.145166
996.404763 -1.639223 -0.329027
994.405583 -1.642519 -0.330352
993.405994 -1.644172 -0.331017
991.088758 -1.702289 -0.343519
990.407233 -1.649152 -0.333025
988.408063 -1.652489 -0.334374
988.356486 -1.672620 -0.338465
986.408897 -1.655839 -0.335731
985.409315 -1.657519 -0.336412
985.357768 -1.677712 -0.340528
983.410153 -0.696601 -0.141671
982.682776 -1.681693 -0.342266
979.730344 -1.667468 -0.340393
979.644296 0.681525 0.139137
979.584485 0.662276 0.135216
978.684506 -1.688566 -0.345068
976.731618 -1.672589 -0.342487
